Fold,MAE,RMSE,R²,Dir. Accuracy
1,0.0365,0.0512,-0.09,55.5%
2,0.0353,0.0486,-0.01,60.0%
3,0.0464,0.0594,-0.015,52.6%
4,0.0416,0.0555,-0.057,64.1%
5,0.0392,0.0526,-0.016,55.3%
