Fold,MAE,RMSE,R²,Dir. Accuracy
1,0.0208,0.0297,-0.03,52.2%
2,0.0225,0.0319,-0.001,56.7%
3,0.0267,0.0346,0.002,54.3%
4,0.0229,0.0323,-0.017,56.9%
5,0.0224,0.0313,-0.005,53.3%
